site;year;month;day;drone_model;N_pictures;acquiStart_hh_mm_ss;acquiEnd_hh_mm_ss;totalSize_Go
Bouamir;2022;3;26;DJI Mavic 2 Pro;578;14_28_36;16_10_06;6.78
Bouamir;2022;4;27;DJI Mavic 2 Pro;705;10_10_41;10_10_37;8.67
Bouamir;2022;5;11;DJI Mavic 2 Pro;780;10_03_58;10_03_53;9.58
Bouamir;2022;5;25;DJI Mavic 2 Pro;622;12_22_16;15_01_39;7.71
Bouamir;2022;6;10;DJI Mavic 2 Pro;536;11_32_11;11_32_07;6.34
Bouamir;2022;6;24;DJI Mavic 2 Pro;708;14_27_01;17_14_36;8.74
Bouamir;2022;7;8;DJI Mavic 2 Pro;606;09_03_15;10_37_43;5.75
Bouamir;2022;7;23;DJI Mavic 2 Pro;629;09_25_21;15_07_23;6.52
Bouamir;2022;8;6;DJI Mavic 2 Pro;573;09_39_52;11_32_14;6.19
Bouamir;2022;8;24;DJI Mavic 2 Pro;725;14_50_16;16_05_20;8.57
Bouamir;2022;9;11;DJI Mavic 2 Pro;558;11_03_20;11_03_15;6.97
Bouamir;2022;9;25;DJI Mavic 2 Pro;1052;09_21_57;11_34_47;11.01
Bouamir;2022;10;11;DJI Mavic 2 Pro;750;09_06_29;10_46_45;9.19
Bouamir;2022;10;24;DJI Mavic 2 Pro;723;08_54_20;12_12_34;9
Bouamir;2022;11;5;DJI Mavic 2 Pro;560;14_42_23;14_42_18;6.72
Bouamir;2022;11;21;DJI Mavic 2 Pro;512;09_21_05;11_36_16;6.3
Bouamir;2022;12;6;DJI Mavic 2 Pro;512;14_14_20;16_32_21;6.17
Bouamir;2022;12;20;DJI Mavic 2 Pro;762;10_13_33;11_49_18;9.21
Bouamir;2023;1;5;DJI Mavic 2 Pro;576;10_06_08;10_06_03;6.26
Bouamir;2023;1;20;DJI Mavic 2 Pro;594;14_09_00;15_54_22;6.89
Bouamir;2023;2;6;DJI Mavic 2 Pro;788;11_23_29;11_23_24;9.5
Bouamir;2023;2;20;DJI Mavic 2 Pro;791;09_29_00;11_15_07;8.12
Bouamir;2023;3;5;DJI Mavic 2 Pro;794;15_15_29;15_15_25;8.73
Bouamir;2023;3;22;DJI Mavic 2 Pro;793;09_08_44;11_04_24;9.43
Bouamir;2023;4;5;DJI Mavic 2 Pro;559;09_06_51;15_47_11;7.44
Bouamir;2023;4;20;DJI Mavic 2 Pro;552;14_25_11;16_03_33;6.97
Bouamir;2023;5;6;DJI Mavic 2 Pro;854;13_41_32;12_29_28;10.72
Bouamir;2023;5;30;DJI Mavic 2 Pro;1064;09_00_31;10_33_01;12.97
Bouamir;2023;6;5;DJI Mavic 2 Pro;490;15_10_41;15_10_36;6.3
Bouamir;2023;6;20;DJI Mavic 2 Pro;574;09_13_05;11_01_19;7.08
Bouamir;2023;7;6;DJI Mavic 2 Pro;465;09_32_40;09_32_35;5.57
Bouamir;2023;7;20;DJI Mavic 2 Pro;510;09_46_01;11_08_20;6.15
Bouamir;2023;8;5;DJI Mavic 2 Pro;510;14_12_05;15_35_01;6.37
Bouamir;2023;8;20;DJI Mavic 2 Pro;509;11_02_27;12_25_36;6.62
Bouamir;2023;9;5;DJI Mavic 2 Pro;532;10_16_43;11_49_32;6.76
Bouamir;2023;9;20;DJI Mavic 2 Pro;509;14_08_04;15_29_47;6.72
Bouamir;2023;10;5;DJI Mavic 2 Pro;510;10_03_13;11_24_25;6.55
Bouamir;2023;10;20;DJI Mavic 2 Pro;531;09_38_37;11_01_20;6.77
Bouamir;2023;11;5;DJI Mavic 2 Pro;532;10_39_42;12_03_45;7
Bouamir;2023;11;20;DJI Mavic 2 Pro;532;10_49_14;12_09_32;6.94
Bouamir;2023;12;5;DJI Mavic 2 Pro;530;09_52_39;11_15_03;6.5
Bouamir;2023;12;20;DJI Mavic 2 Pro;532;09_07_56;10_29_01;5.73
Bouamir;2024;1;5;DJI Mavic 2 Pro;533;10_23_10;11_45_42;6.48
Bouamir;2024;1;20;DJI Mavic 2 Pro;425;09_25_48;10_46_46;4.79
Bouamir;2024;2;5;DJI Mavic 2 Pro;532;09_09_16;10_31_27;6.11
Bouamir;2024;2;20;DJI Mavic 2 Pro;532;10_43_40;12_04_42;5.65
Bouamir;2024;3;5;DJI Mavic 2 Pro;531;14_07_04;15_29_15;6.66
Bouamir;2024;3;20;DJI Mavic 2 Pro;531;14_09_57;15_32_18;6.32
Bouamir;2024;4;5;DJI Mavic 2 Pro;530;09_39_05;10_59_45;6.68
Bouamir;2024;4;20;DJI Mavic 2 Pro;530;10_06_24;11_53_23;7.06
Bouamir;2024;5;5;DJI Mavic 2 Pro;574;17_07_37;15_48_59;7.09
Bouamir;2024;5;20;DJI Mavic 2 Pro;520;14_27_08;16_48_21;4.13
Bouamir;2024;6;5;DJI Mavic 2 Pro;656;15_19_34;16_39_09;4.11
Bouamir;2024;6;20;DJI Mavic 2 Pro;532;15_11_54;17_29_52;1.78
Bouamir;2024;7;5;DJI Mavic 2 Pro;533;12_59_59;14_20_59;6.85
Bouamir;2024;7;20;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69
Bouamir;2024;8;5;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69
Bouamir;2024;8;20;DJI Mavic 2 Pro;476;23_11_27;00_27_45;5.46
Bouamir;2024;9;5;DJI Mavic 2 Pro;531;14_06_54;15_27_44;6.69
Bouamir;2024;9;20;DJI Mavic 2 Pro;407;02_10_56;03_16_04;5.14
Bouamir;2024;10;5;DJI Mavic 2 Pro;604;09_51_21;11_24_01;7.51
Bouamir;2024;10;20;DJI Mavic 2 Pro;530;08_31_37;09_59_17;6.44
Bouamir;2024;11;5;DJI Mavic 2 Pro;407;02_10_56;03_16_04;5.14
Bouamir;2024;11;20;DJI Mavic 2 Pro;476;23_11_27;00_27_45;5.46
Mbalmayo;2022;7;30;DJI Mavic 2 Pro;517;10_07_43;10_43_53;5.79
Mbalmayo;2022;8;16;DJI Mavic 2 Pro;990;14_37_01;17_03_37;10.79
Mbalmayo;2022;8;30;DJI Mavic 2 Pro;1075;13_38_37;15_02_22;13.76
Mbalmayo;2022;9;17;DJI Mavic 2 Pro;968;14_40_53;16_47_56;11.4
Mbalmayo;2022;10;8;DJI Mavic 2 Pro;468;15_21_13;16_19_26;5.61
Mbalmayo;2022;10;24;DJI Mavic 2 Pro;471;13_58_36;14_58_37;6.65
Mbalmayo;2022;11;8;DJI Mavic 2 Pro;471;14_22_30;15_20_37;5.85
Mbalmayo;2022;11;25;DJI Mavic 2 Pro;628;14_37_47;16_04_09;7.15
Mbalmayo;2022;12;8;DJI Mavic 2 Pro;500;14_54_44;16_12_25;5.96
Mbalmayo;2022;12;23;DJI Mavic 2 Pro;605;14_37_41;16_05_32;7.03
Mbalmayo;2023;1;9;DJI Mavic 2 Pro;445;14_19_36;15_20_16;5.12
Mbalmayo;2023;1;24;DJI Mavic 2 Pro;471;14_24_01;15_36_47;5.37
Mbalmayo;2023;2;8;DJI Mavic 2 Pro;471;14_03_56;15_20_33;5.22
Mbalmayo;2023;2;23;DJI Mavic 2 Pro;490;14_38_17;16_23_57;4.4
Mbalmayo;2023;3;12;DJI Mavic 2 Pro;471;14_31_58;15_49_42;5.43
Mbalmayo;2023;3;27;DJI Mavic 2 Pro;501;15_12_22;17_38_45;5.34
Mbalmayo;2023;4;12;DJI Mavic 2 Pro;471;14_40_13;16_18_01;5.69
Mbalmayo;2023;4;27;DJI Mavic 2 Pro;471;14_37_29;15_47_53;6.05
Mbalmayo;2023;5;12;DJI Mavic 2 Pro;471;13_59_25;15_11_34;6.12
Mbalmayo;2023;5;27;DJI Mavic 2 Pro;471;14_31_47;15_40_14;6.1
Mbalmayo;2023;6;12;DJI Mavic 2 Pro;471;14_01_13;15_01_31;5.97
Mbalmayo;2023;6;27;DJI Mavic 2 Pro;471;15_32_50;16_34_08;6.03
Mbalmayo;2023;7;12;DJI Mavic 2 Pro;471;14_09_27;15_08_16;5.99
Mbalmayo;2023;7;27;DJI Mavic 2 Pro;471;14_57_35;16_00_43;6.15
Mbalmayo;2023;8;11;DJI Mavic 2 Pro;473;14_03_17;15_12_33;5.9
Mbalmayo;2023;8;26;DJI Mavic 2 Pro;630;14_14_49;15_40_56;8.58
Mbalmayo;2023;9;11;DJI Mavic 2 Pro;473;14_01_21;15_33_55;5.4
Mbalmayo;2023;9;26;DJI Mavic 2 Pro;473;14_01_33;15_01_09;5.43
Mbalmayo;2023;10;11;DJI Mavic 2 Pro;558;14_13_03;16_09_08;5.63
Mbalmayo;2023;10;26;DJI Mavic 2 Pro;472;14_19_56;15_18_09;5.47
Mbalmayo;2023;11;11;DJI Mavic 2 Pro;477;14_30_31;15_27_47;5.13
Mbalmayo;2023;11;26;DJI Mavic 2 Pro;603;15_29_40;17_01_33;6.48
Mbalmayo;2023;12;12;DJI Mavic 2 Pro;473;14_02_50;15_14_08;5.45
Mbalmayo;2023;12;27;DJI Mavic 2 Pro;594;14_00_24;15_22_39;6.42
Mbalmayo;2024;1;11;DJI Mavic 2 Pro;472;14_06_15;15_13_30;5.2
Mbalmayo;2024;1;26;DJI Mavic 2 Pro;473;14_03_40;15_11_22;4.85
Mbalmayo;2024;2;12;DJI Mavic 2 Pro;601;14_06_30;15_27_28;6.25
Mbalmayo;2024;2;27;DJI Mavic 2 Pro;446;14_04_32;15_07_35;4.55
Mbalmayo;2024;3;13;DJI Mavic 2 Pro;501;14_00_26;15_18_43;5
Mbalmayo;2024;3;28;DJI Mavic 2 Pro;473;14_01_59;15_07_35;5.07
Mbalmayo;2024;4;13;DJI Mavic 2 Pro;423;15_30_42;16_52_22;4.67
Mbalmayo;2024;4;27;DJI Mavic 2 Pro;473;14_25_00;15_23_33;5.49
Mbalmayo;2024;5;13;DJI Mavic 2 Pro;471;14_37_16;15_38_25;5.48
Mbalmayo;2024;5;27;DJI Mavic 2 Pro;472;14_36_34;15_36_35;5.43
Mbalmayo;2024;6;13;DJI Mavic 2 Pro;473;14_50_25;15_51_12;5.07
Mbalmayo;2024;6;27;DJI Mavic 2 Pro;377;14_26_58;17_09_04;4.06
Mbalmayo;2024;7;12;DJI Mavic 2 Pro;402;14_58_48;15_52_38;4.3
Mbalmayo;2024;7;27;DJI Mavic 2 Pro;475;14_23_01;15_22_43;5.48
Mbalmayo;2024;8;12;DJI Mavic 2 Pro;473;14_43_49;15_45_59;5.54
Mbalmayo;2024;8;27;DJI Mavic 2 Pro;471;14_06_01;15_07_31;5.21
Mbalmayo;2024;9;12;DJI Mavic 2 Pro;472;14_02_05;15_01_07;5.33
Mbalmayo;2024;9;28;DJI Mavic 2 Pro;602;14_10_52;15_38_01;7.13
Mbalmayo;2024;10;14;DJI Mavic 2 Pro;473;14_13_22;15_17_36;5.51
Loundoungou;2023;6;2;DJI Mavic 2 Pro;468;11_15_57;11_15_52;6.26
Loundoungou;2023;8;2;DJI Mavic 2 Pro;568;12_10_29;12_10_25;7.01
Loundoungou;2024;3;5;DJI Mavic 2 Pro;361;10_12_16;10_12_10;3.45
Loundoungou;2023;7;12;DJI Mavic 2 Pro;480;09_30_21;10_53_11;5.89
Loundoungou;2023;9;12;DJI Mavic 2 Pro;466;11_40_59;13_04_38;5.39
Loundoungou;2023;10;12;DJI Mavic 2 Pro;473;07_48_40;15_25_31;5.12
Loundoungou;2023;12;12;DJI Mavic 2 Pro;340;07_18_40;08_39_59;3.05
Loundoungou;2023;5;13;DJI Mavic 2 Pro;254;12_08_10;12_46_49;3.35
Loundoungou;2024;2;15;DJI Mavic 2 Pro;411;06_57_42;11_38_47;3.53
Loundoungou;2024;1;16;DJI Mavic 2 Pro;357;12_04_33;12_04_27;3.48
Loundoungou;2024;3;21;DJI Mavic 2 Pro;171;08_51_08;09_36_01;1.27
Loundoungou;2023;6;22;DJI Mavic 2 Pro;480;12_08_10;13_33_31;5.99
Loundoungou;2023;11;23;DJI Mavic 2 Pro;397;09_08_34;10_28_06;4.26
Loundoungou;2023;8;24;DJI Mavic 2 Pro;335;11_40_55;13_55_22;3.94
Loundoungou;2023;10;27;DJI Mavic 2 Pro;846;10_05_41;11_53_36;9.87
Loundoungou;2023;12;27;DJI Mavic 2 Pro;356;10_27_40;14_23_54;3.35
Loundoungou;2024;1;31;DJI Mavic 2 Pro;365;10_45_38;12_03_01;3.08
